Bin	Name	Source Path	Color	GFX-Video Level	Field Ordering	LensModelName	InitializedDate	ProavIdRef	serialNo	modelName	manufacturer	CreationDate	Video Bitrate	Shutter Speed Time	Shutter Speed Angle	Iris F	White Balance	White Balance Mode	Foc. Pos. fr. Image Plane	EI	Exposure Mode	Capture FPS	Capture Gamma Equation	lens_name	Lens Mount	Audio Format	User TC Pref	User Action Guide Width	User Action Guide Topleft Y	User Action Guide Topleft X	User Action Guide Height	User Action Guide Enabled	Shutter fraction	Shutter degree	Sensor OLPF Name	Sensor OLPF Interchangeable	Sensor Name	Sensor ID	Resolution Format Name	Reel ID Full	Reel ID 8 Character	REDCODE	record_framerate_numerator	record_framerate_denominator	Record Framerate	Original Filename	monitor_sharpness	Media Serial Number	TimeStamp	Lens Aperture Units	Jamsync setting	iso_calibration_version	FrameWidth	FrameHeight	HDR Mode	GMT Time	GMT Date	Genlock setting	Frame Guide Width	Frame Guide Topleft Y	Frame Guide Topleft X	Frame Guide Height	Frame Guide Enabled	flip_vertical	flip_horizontal	Exposure time	exposure_adjust	Dropped Frame Count	clip_uuid	Clip	clip_default_color_version	camera_rotation_z	camera_rotation_y	camera_rotation_x	camera_position	Camera PIN	Camera Network Name	Camera Model ID	Camera Model	Camera firmware version	Camera Firmware Revision	camera_acceleration_z	camera_acceleration_y	camera_acceleration_x	Anamorphic Mode	Resolution	Filename	Original_End	Original_Start	Blue White Y	Blue White X	Blue Knee Y	Blue Knee X	Blue Mid Y	Blue Mid X	Blue Toe Y	Blue Toe X	Blue Black Y	Blue Black X	Green White Y	Green White X	Green Knee Y	Green Knee X	Green Mid Y	Green Mid X	Green Toe Y	Green Toe X	Green Black Y	Green Black X	Red White Y	Red White X	Red Knee Y	Red Knee X	Red Mid Y	Red Mid X	Red Toe Y	Red Toe X	Red Black Y	Red Black X	LGG Blue Gain	LGG Blue Gamma	LGG Blue Lift	LGG Green Gain	LGG Green Gamma	LGG Green Lift	LGG Red Gain	LGG Red Gamma	LGG Red Lift	Shadow	FLUT	Chroma Denoise	OLPF	Debayer detail	GammaSpace	ColorSpace	DRX	Tint	Kelvin	White Y	White X	Knee Y	Knee X	Mid Y	Mid X	Toe Y	Toe X	Black Y	Black X	Saturation	Exposure	GainRed	GainGreen	GainBlue	Contrast	Brightness	ISO	Source Setting	Clip ID	Comments	Image Size	Raster Dimension	Image Framing	Vendor Download Master	Vendor Invoice ID	Vendor Asset Status	Vendor Asset Keywords	Vendor Asset Description	Vendor Original Master	Vendor Asset Price	Vendor Asset Rights	Vendor Asset Name	Vendor Asset ID	Vendor URL	Vendor Name	Marker	S3D Alignment	S3D Eye Order	S3D InversionR	S3D Inversion	S3D Clip Name	S3D Group Name	S3D Channel	S3D Leading Eye	S3D Contributors	Color Transformation	Ancillary Data	Media File Path	Reformat	Pixel Aspect Ratio	Image Aspect Ratio	Chroma Subsampling	Color Space	Track Formats	Field Motion	AFD	Auxiliary TC5	ASC_SAT	ASC_SOP	IDataLink	Production	Journalist	Disk Label	TC 30NP	UNC Path	Transfer	Master Start	Master Film	Master End	Master Edge	Master Dur	LUT	KN Film	Ink Film	Ink Edge	Ink End	Frame Count Duration	Frame Count End	Frame Count Start	Ink Dur	VFX Reel	VFX	DPX	AuxInk Film	AuxInk End	AuxInk Edge	AuxInk Dur	Format	Video File Format	Aux TC 24	Cadence	TC 25PD	Audio Bit Depth	Audio File Format	TC 30	TC 24	TC 25	Modified Date	Audio SR	TapeID	Lock	Slip	Camera	Reel	Labroll	Shoot Date	Camroll	Auxiliary TC1	Soundroll	Reel #	Take	VITC	Scene	Plug-in	Video	Tape	Start	Sound TC	Tracks	Offline	Pullout	Project	Pullin	Auxiliary TC4	Mark OUT	KN Start	KN IN-OUT	KN Mark OUT	KN Dur	Mark IN	KN Mark IN	Perf	KN End	Film TC	IN-OUT	FPS	Auxiliary Ink	End	Ink Number	Drive	Duration	Creation Date	Auxiliary TC2	Frame	CFPS	Media Status	Auxiliary TC3	Source File	
OWEN FOR RESOLVE	WW2D_ARC_694_S_UNKNOWN_1907.jpg.jpeg	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Stretch	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive										Z:\GFX\AI VIDS FROM JAMES\WW2D_ARC_694_S_UNKNOWN_1907.jpg.jpeg												750	749	0									1080p/25			None							15/05/2025 15:27:42			   														DNxHD LB (HD1080p)		01:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  46+14							25.00		01:00:30:00		BLINK_WW2 DECODED_RENDER (T:)	00:00:30:00	15/05/2025 15:27:41			25.00			WW2D_ARC_694_S_UNKNOWN_1907.jpg.jpeg	
OWEN FOR RESOLVE	SAD HITLER DRAW.new.01	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1232 x 736	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	0.942	1.67:1	4:2:2	[video levels]		Progressive																						161	160	0									1080p/30			None							23/05/2025 18:03:58			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  10+01							30.00		00:00:05:11		BLINK_WW2 DECODED_RENDER (T:)	00:00:05:11	23/05/2025 13:04:34			30.00			SAD HITLER DRAW.mp4	
OWEN FOR RESOLVE	SAD HITLER LOOKS UP WIDE.new.01	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						161	160	0									1080p/30			None							15/05/2025 15:31:07			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  10+01							30.00		00:00:05:11		BLINK_WW2 DECODED_RENDER (T:)	00:00:05:11	15/05/2025 15:31:06			30.00			SAD CHILD HITLER 2.mp4	
OWEN FOR RESOLVE	KLARA 1.new.01	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1232 x 736	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	0.942	1.67:1	4:2:2	[video levels]		Progressive																						161	160	0									1080p/30			None							15/05/2025 17:51:19			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  10+01	00:00:00:12						30.00		00:00:05:11		BLINK_WW2 DECODED_RENDER (T:)	00:00:05:11	15/05/2025 17:51:19			30.00			KLARA 1.mp4	
OWEN FOR RESOLVE	SAD HITLER PUSH IN.new.01	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1248 x 736	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	0.954	1.70:1	4:2:2	[video levels]		Progressive																						161	160	0									1080p/30			None							15/05/2025 15:31:14			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  10+01							30.00		00:00:05:11		BLINK_WW2 DECODED_RENDER (T:)	00:00:05:11	15/05/2025 15:31:13			30.00			SAD HITLER PUSH IN.mp4	
OWEN FOR RESOLVE	WW2D_ARC_1208_S_BUNDESARCHIV_102-16148_AI VERSION.new.01	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						161	160	0									1080p/30			None							21/05/2025 11:56:38			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  10+01							30.00		00:00:05:11		BLINK_WW2 DECODED_RENDER (T:)	00:00:05:11	15/05/2025 16:53:46			30.00			WW2D_ARC_1208_S_BUNDESARCHIV_102-16148_AI VERSION.mp4	
OWEN FOR RESOLVE	ALOIS AI HITLER.JPG	Z:\GFX\AI VIDS FROM JAMES\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Stretch	1.000	16:9	4:2:2	Rec.709 [video levels]		Progressive										Z:\GFX\AI VIDS FROM JAMES\ALOIS AI HITLER.JPG												750	749	0									1080p/25			None							23/05/2025 18:03:58			   														DNxHD LB (HD1080p)		01:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  46+14							25.00		01:00:30:00		BLINK_WW2 DECODED_RENDER (T:)	00:00:30:00	23/05/2025 12:46:14			25.00			ALOIS AI HITLER.JPG	
OWEN FOR RESOLVE	077988902-1914-first-world-war-mobilisat.new.01	Z:\ARCHIVE AND DOWNLOADS\POND 5\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						508	507	0									1080p/24			None							23/05/2025 18:28:21			   														DNxHR LB (1920x1080)		00:04:40:11		V1	V1		BLINK_WWII_DECODED_EDIT01							  31+12							24.00		00:05:01:15		BLINK_WW2 DECODED_RENDER (T:)	00:00:21:04	23/05/2025 18:28:19			24.00			077988902-1914-first-world-war-mobilisat.mov	
OWEN FOR RESOLVE	WW2D_ARC_857_M_POND5_120678809.new.01	Z:\ARCHIVE AND DOWNLOADS\POND 5\	   																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	1.000	16:9	4:2:2	[video levels]		Progressive																						262	261	0									1080p/23.976			None							23/04/2025 12:53:25			   														DNxHR LB (1920x1080)		00:00:00:00		V1	V1		BLINK_WWII_DECODED_EDIT01							  16+06							23.98		00:00:10:22		BLINK_WW2 DECODED_RENDER (T:)	00:00:10:22	23/04/2025 12:53:22			23.98			WW2D_ARC_857_M_POND5_120678809.mov	
OWEN FOR RESOLVE	104335281-scene-new-cathedral-linz-austr.new.01	Z:\ARCHIVE AND DOWNLOADS\POND 5\	   																																																																																																																																																													720 x 480	1920x1080p														   	NONE						MONO						Pillarbox/Letterbox	0.844	1.50:1	4:2:2	Rec.709 [video levels]		Progressive																						729	728	0									1080p/60			None		24	PCM				21/05/2025 11:56:38	48000		   														DNxHR LB (1920x1080)		00:00:00:00		V1 A1-2	V1 A1-2		BLINK_WWII_DECODED_EDIT01							  45+09							60.00		00:00:12:04		BLINK_WW2 DECODED_RENDER (T:)	00:00:12:04	13/05/2025 14:48:27			60.00			104335281-scene-new-cathedral-linz-austr.mp4	
