Bin	Name	Source Path	Color	GFX-Video Level	Field Ordering	LensModelName	InitializedDate	ProavIdRef	serialNo	modelName	manufacturer	CreationDate	Video Bitrate	Shutter Speed Time	Shutter Speed Angle	Iris F	White Balance	White Balance Mode	Foc. Pos. fr. Image Plane	EI	Exposure Mode	Capture FPS	Capture Gamma Equation	lens_name	Lens Mount	Audio Format	User TC Pref	User Action Guide Width	User Action Guide Topleft Y	User Action Guide Topleft X	User Action Guide Height	User Action Guide Enabled	Shutter fraction	Shutter degree	Sensor OLPF Name	Sensor OLPF Interchangeable	Sensor Name	Sensor ID	Resolution Format Name	Reel ID Full	Reel ID 8 Character	REDCODE	record_framerate_numerator	record_framerate_denominator	Record Framerate	Original Filename	monitor_sharpness	Media Serial Number	TimeStamp	Lens Aperture Units	Jamsync setting	iso_calibration_version	FrameWidth	FrameHeight	HDR Mode	GMT Time	GMT Date	Genlock setting	Frame Guide Width	Frame Guide Topleft Y	Frame Guide Topleft X	Frame Guide Height	Frame Guide Enabled	flip_vertical	flip_horizontal	Exposure time	exposure_adjust	Dropped Frame Count	clip_uuid	Clip	clip_default_color_version	camera_rotation_z	camera_rotation_y	camera_rotation_x	camera_position	Camera PIN	Camera Network Name	Camera Model ID	Camera Model	Camera firmware version	Camera Firmware Revision	camera_acceleration_z	camera_acceleration_y	camera_acceleration_x	Anamorphic Mode	Resolution	Filename	Original_End	Original_Start	Blue White Y	Blue White X	Blue Knee Y	Blue Knee X	Blue Mid Y	Blue Mid X	Blue Toe Y	Blue Toe X	Blue Black Y	Blue Black X	Green White Y	Green White X	Green Knee Y	Green Knee X	Green Mid Y	Green Mid X	Green Toe Y	Green Toe X	Green Black Y	Green Black X	Red White Y	Red White X	Red Knee Y	Red Knee X	Red Mid Y	Red Mid X	Red Toe Y	Red Toe X	Red Black Y	Red Black X	LGG Blue Gain	LGG Blue Gamma	LGG Blue Lift	LGG Green Gain	LGG Green Gamma	LGG Green Lift	LGG Red Gain	LGG Red Gamma	LGG Red Lift	Shadow	FLUT	Chroma Denoise	OLPF	Debayer detail	GammaSpace	ColorSpace	DRX	Tint	Kelvin	White Y	White X	Knee Y	Knee X	Mid Y	Mid X	Toe Y	Toe X	Black Y	Black X	Saturation	Exposure	GainRed	GainGreen	GainBlue	Contrast	Brightness	ISO	Source Setting	Clip ID	Comments	Image Size	Raster Dimension	Image Framing	Vendor Download Master	Vendor Invoice ID	Vendor Asset Status	Vendor Asset Keywords	Vendor Asset Description	Vendor Original Master	Vendor Asset Price	Vendor Asset Rights	Vendor Asset Name	Vendor Asset ID	Vendor URL	Vendor Name	Marker	S3D Alignment	S3D Eye Order	S3D InversionR	S3D Inversion	S3D Clip Name	S3D Group Name	S3D Channel	S3D Leading Eye	S3D Contributors	Color Transformation	Ancillary Data	Media File Path	Reformat	Pixel Aspect Ratio	Image Aspect Ratio	Chroma Subsampling	Color Space	Track Formats	Field Motion	AFD	Auxiliary TC5	ASC_SAT	ASC_SOP	IDataLink	Production	Journalist	Disk Label	TC 30NP	UNC Path	Transfer	Master Start	Master Film	Master End	Master Edge	Master Dur	LUT	KN Film	Ink Film	Ink Edge	Ink End	Frame Count Duration	Frame Count End	Frame Count Start	Ink Dur	VFX Reel	VFX	DPX	AuxInk Film	AuxInk End	AuxInk Edge	AuxInk Dur	Format	Video File Format	Aux TC 24	Cadence	TC 25PD	Audio Bit Depth	Audio File Format	TC 30	TC 24	TC 25	Modified Date	Audio SR	TapeID	Lock	Slip	Camera	Reel	Labroll	Shoot Date	Camroll	Auxiliary TC1	Soundroll	Reel #	Take	VITC	Scene	Plug-in	Video	Tape	Start	Sound TC	Tracks	Offline	Pullout	Project	Pullin	Auxiliary TC4	Mark OUT	KN Start	KN IN-OUT	KN Mark OUT	KN Dur	Mark IN	KN Mark IN	Perf	KN End	Film TC	IN-OUT	FPS	Auxiliary Ink	End	Ink Number	Drive	Duration	Creation Date	Auxiliary TC2	Frame	CFPS	Media Status	Auxiliary TC3	Source File	
OWEN FOR RESOLVE	A003_C001_012802_001.new.01	U:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_01_28\WW2D_20250128_RED A_003\A003_0128MB.RDM\A003_C001_012802.RDC\	   																																																																																																																																																													4096 x 2160	1920x1080p	Framed as 1.90:1 100.00%													   	NONE						MONO			RedWideGamut_Log3G10 to Rec709 (3D); Teal and Orange (3D)			Pillarbox/Letterbox	1.067	1.90:1	4:2:2	[video levels]		Progressive								WW2D_20250128_RED A_003														5362	5361	0									1080p/25			None		24	PCM				10/02/2025 13:46:25	48000	WW2D_20250128_RED A_003	   														DNxHR LB (1920x1080)		17:36:30:03		V1 A1-4	V1 A1-4		+BLINK_WWII DECODED_TECH							 335+02	17:36:34:00						25.00		17:40:04:15		BLINK_WW2 DECODED_MEDIA (W:)	00:03:34:12	31/01/2025 03:35:24			25.00			A003_C001_012802_001.mov	
OWEN FOR RESOLVE	BOD_0611.new.01	U:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_01_28\WW2D_20250128_FX6_002\XDROOT\Clip\	   																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Center Crop	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250128_FX6_002														4878	4877	0									1080p/25			None		24	PCM				03/02/2025 10:19:17	48000	WW2D_20250128_FX6_002	   														DNxHR LB (1920x1080)		16:29:51:05		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							 304+14							25.00		16:33:06:08		BLINK_WW2 DECODED_MEDIA (W:)	00:03:15:03	31/01/2025 08:17:09			25.00			BOD_0611.MXF	
OWEN FOR RESOLVE	BOD_0610.new.01	U:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_01_28\WW2D_20250128_FX6_002\XDROOT\Clip\	   																																																																																																																																																													4096 x 2160	1920x1080p														   	NONE						MONO			Sony SLog3 Cine (3D); Duotone (3D)			Center Crop	1.067	1.90:1	4:2:2	S-Log3 / S-Gamut3		Progressive								WW2D_20250128_FX6_002														4958	4957	0									1080p/25			None		24	PCM				03/02/2025 10:19:17	48000	WW2D_20250128_FX6_002	   														DNxHR LB (1920x1080)		16:22:35:09		V1 A1-8	V1 A1-8		+BLINK_WWII DECODED_TECH							 309+14							25.00		16:25:53:17		BLINK_WW2 DECODED_MEDIA (W:)	00:03:18:08	31/01/2025 08:13:08			25.00			BOD_0610.MXF	
OWEN FOR RESOLVE	WW2D_News_01_Hitler_Jewish_V05.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\05_GFX\2025_06_04\	Other																																																																																																																																																													1920 x 1080	1920x1080p														   	NONE						MONO						Stretch	1.000	16:9	4:2:2	Rec.709 [video levels]	Stereo: A1A2	Progressive								WW2D_GFX_Sequences_FC_01														250	249	0									1080p/25			None		16	PCM				04/06/2025 10:03:25	48000	WW2D_GFX_Sequences_FC_01	   														DNxHD LB (HD1080p)		00:00:00:00		V1 A1-2	V1 A1-2		+BLINK_WWII DECODED_TECH							  15+10	00:00:02:12						25.00		00:00:10:00		BLINK_WW2 DECODED_MEDIA (W:)	00:00:10:00	04/06/2025 09:39:37			25.00			WW2D_News_01_Hitler_Jewish_V05.mov	
OWEN FOR RESOLVE	A005_C011_04303D.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C011_04303D.RDC\	   																							PCM	1	0.633333	0.0250087	0.183381	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4K 4:3 ANA 2	A005_C011_04303D	A005C011	REDcode 6:1	50	1	50	A005_C011_04303D_001.R3D	0	20161231AAUS08400012	180050	0	0	2	3840	2880	0	180050	20250430	0	1	0	0	1	1	0	0	10000	0	0	61B2E400-277F-11F0-9260-2CB69D044ABA	011	3	8.995	-2.257	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.752	0.094	0.689	1	Auto	A005_C011_04303D	18:03:53:18	18:00:50:07	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			7680 x 2880	1920x1080p	Framed as 2.67:1 100.00%													   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														4587	4586	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:17:24:11			DNxHD LB (HD1080p)		18:00:50:07		V1	V1		+BLINK_WWII DECODED_TECH							 286+11	18:03:17:00						25.00		18:03:53:19		BLINK_WW2 DECODED_MEDIA (W:)	00:03:03:12	01/05/2025 18:04:25			25.00			A005_C011_04303D_001.R3D	
OWEN FOR RESOLVE	A005_C010_0430G1.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C010_0430G1.RDC\	   																							PCM	1	0.633333	0.0250087	0.183381	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4K 4:3 ANA 2	A005_C010_0430G1	A005C010	REDcode 6:1	50	1	50	A005_C010_0430G1_001.R3D	0	20161231AAUS08400012	175721	0	0	2	3840	2880	0	175721	20250430	0	1	0	0	1	1	0	0	10000	0	0	E574138C-277E-11F0-9260-2CB69D044ABA	010	3	6.746	-0.008	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.972	0.047	0.094	1	Auto	A005_C010_0430G1	18:00:20:22	17:57:21:21	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			7680 x 2880	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														4477	4476	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:14:25:09			DNxHD LB (HD1080p)		17:57:21:21		V1	V1		+BLINK_WWII DECODED_TECH							 279+13							25.00		18:00:20:23		BLINK_WW2 DECODED_MEDIA (W:)	00:02:59:02	01/05/2025 23:28:43			25.00			A005_C010_0430G1_001.R3D	
OWEN FOR RESOLVE	A005_C009_0430X5.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C009_0430X5.RDC\	   																							PCM	1	0.633333	0.0250087	0.183381	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4K 4:3 ANA 2	A005_C009_0430X5	A005C009	REDcode 6:1	50	1	50	A005_C009_0430X5_001.R3D	0	20161231AAUS08400012	175237	0	0	2	3840	2880	0	175237	20250430	0	1	0	0	1	1	0	0	10000	0	0	3C41412C-277E-11F0-9260-2CB69D044ABA	009	3	8.995	-2.257	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.956	0.078	0.203	1	Auto	A005_C009_0430X5	17:55:34:15	17:52:37:24	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			7680 x 2880	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														4417	4416	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:11:28:17			DNxHD LB (HD1080p)		17:52:37:24		V1	V1		+BLINK_WWII DECODED_TECH							 276+01							25.00		17:55:34:16		BLINK_WW2 DECODED_MEDIA (W:)	00:02:56:17	01/05/2025 15:53:33			25.00			A005_C009_0430X5_001.R3D	
OWEN FOR RESOLVE	A005_C007_0430S0.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C007_0430S0.RDC\	   																							PCM	1	0.633333	0.0250087	0.183381	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4K 4:3 ANA 2	A005_C007_0430S0	A005C007	REDcode 6:1	50	1	50	A005_C007_0430S0_001.R3D	0	20161231AAUS08400012	175003	0	0	2	3840	2880	0	175003	20250430	0	1	0	0	1	1	0	0	10000	0	0	E04A3694-277D-11F0-9260-2CB69D044ABA	007	3	6.746	-0.008	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.925	0.078	0.329	1	Auto	A005_C007_0430S0	17:51:11:16	17:50:03:17	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			7680 x 2880	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														1700	1699	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:10:02:23			DNxHD LB (HD1080p)		17:50:03:17		V1	V1		+BLINK_WWII DECODED_TECH							 106+04	17:50:40:22						25.00		17:51:11:17		BLINK_WW2 DECODED_MEDIA (W:)	00:01:08:00	01/05/2025 22:47:28			25.00			A005_C007_0430S0_001.R3D	
OWEN FOR RESOLVE	A005_C004_0430ZW.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C004_0430ZW.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A005_C004_0430ZW	A005C004	REDcode 6:1	50	1	50	A005_C004_0430ZW_001.R3D	0	20161231AAUS08400012	174109	0	0	2	4320	3240	0	174109	20250430	0	1	0	0	1	1	0	0	10000	0	0	A202F9F8-277C-11F0-9260-2CB69D044ABA	004	3	6.746	0	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.94	0.078	0.313	1	Auto	A005_C004_0430ZW	17:42:44:06	17:41:09:17	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														2365	2364	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:06:50:11			DNxHD LB (HD1080p)		17:41:09:17		V1	V1		+BLINK_WWII DECODED_TECH							 147+13							25.00		17:42:44:07		BLINK_WW2 DECODED_MEDIA (W:)	00:01:34:15	01/05/2025 21:25:08			25.00			A005_C004_0430ZW_001.R3D	
OWEN FOR RESOLVE	A005_C002_0430TV.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C002_0430TV.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A005_C002_0430TV	A005C002	REDcode 6:1	50	1	50	A005_C002_0430TV_001.R3D	0	20161231AAUS08400012	170906	0	0	2	4320	3240	0	170906	20250430	0	1	0	0	1	1	0	0	10000	0	0	27A6F9B0-2778-11F0-9260-2CB69D044ABA	002	3	6.746	-0.008	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.925	0.109	0.313	1	Auto	A005_C002_0430TV	17:10:41:24	17:09:06:10	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														2390	2389	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:03:50:21			DNxHD LB (HD1080p)		17:09:06:10		V1	V1		+BLINK_WWII DECODED_TECH							 149+06							25.00		17:10:42:00		BLINK_WW2 DECODED_MEDIA (W:)	00:01:35:15	01/05/2025 14:37:29			25.00			A005_C002_0430TV_001.R3D	
OWEN FOR RESOLVE	A005_C001_0430N3.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_005\A005_0430DJ\A005_0430DJ.RDM\A005_C001_0430N3.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A005_C001_0430N3	A005C001	REDcode 6:1	50	1	50	A005_C001_0430N3_001.R3D	0	20161231AAUS08400012	170501	0	0	2	4320	3240	0	170501	20250430	0	1	0	0	1	1	0	0	10000	0	0	95CDCE1A-2777-11F0-9260-2CB69D044ABA	001	3	8.995	-0.008	0	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.94	0.125	0.297	1	Auto	A005_C001_0430N3	17:08:52:13	17:05:01:18	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_005														5771	5770	0									1080p/25			None							02/05/2025 09:36:57		WW2D_250430_RED_A_005	   		A	005		20250430						01:00:00:00			DNxHD LB (HD1080p)		17:05:01:18		V1	V1		+BLINK_WWII DECODED_TECH							 360+11							25.00		17:08:52:14		BLINK_WW2 DECODED_MEDIA (W:)	00:03:50:21	01/05/2025 21:02:01			25.00			A005_C001_0430N3_001.R3D	
OWEN FOR RESOLVE	A004_C024_04303O.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_004\A004_04301J\A004_04301J.RDM\A004_C024_04303O.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A004_C024_04303O	A004C024	REDcode 8:1	50	1	50	A004_C024_04303O_001.R3D	0	20180829AAUS11160069	164218	0	0	2	4320	3240	0	164218	20250430	0	1	0	0	1	1	0	0	10000	0	0	69243122-2774-11F0-9260-2CB69D044ABA	024	3	6.746	-2.257	2.248	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.972	0	0.062	1	Auto	A004_C024_04303O	16:44:25:13	16:42:18:08	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_004														3181	3180	0									1080p/25			None							02/05/2025 09:35:34		WW2D_250430_RED_A_004	   		A	004		20250430						01:43:51:13			DNxHD LB (HD1080p)		16:42:18:08		V1	V1		+BLINK_WWII DECODED_TECH							 198+13							25.00		16:44:25:14		BLINK_WW2 DECODED_MEDIA (W:)	00:02:07:06	01/05/2025 18:53:32			25.00			A004_C024_04303O_001.R3D	
OWEN FOR RESOLVE	A004_C020_0430NW.new.01	N:\BLINK\BLINK_WW2 DECODED_NEARLINE\01_RUSHES\2025_04_30\WW2D_250430_RED_A_004\A004_04301J\A004_04301J.RDM\A004_C020_0430NW.RDC\	   																							PCM	1	0.633333	0.0250077	0.183376	0.95	1	100	180	STANDARD	1	HELIUM 8K S35	6	4.5K 4:3 ANA 2	A004_C020_0430NW	A004C020	REDcode 8:1	50	1	50	A004_C020_0430NW_001.R3D	0	20180829AAUS11160069	163350	0	0	2	4320	3240	0	163350	20250430	0	1	0	0	1	1	0	0	10000	0	0	3A74C5D6-2773-11F0-9260-2CB69D044ABA	020	3	6.746	-4.506	2.248	C	130-26B-4FD	EPIC-W	14	RED EPIC-W 8K S35	7.4.1	153431	0.956	0.015	0.25	1	Auto	A004_C020_0430NW	16:34:39:14	16:33:50:12	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0	0.000000	Off	Off	High	BT.1886	Rec.709	0.000000	0.000000	5600.000000	1.000000	1.000000	0.750000	0.750000	0.500000	0.500000	0.250000	0.250000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	320	Camera Metadata Settings			8640 x 3240	1920x1080p														   	NONE						MONO			RED WideGamut / Log3G10 to REC709			Center Crop	1.500	2.67:1	4:2:2	Log3G10/ RED Wide Gamut [full range]		Progressive								WW2D_250430_RED_A_004														1228	1227	0									1080p/25			None							02/05/2025 09:35:34		WW2D_250430_RED_A_004	   		A	004		20250430						01:34:44:09			DNxHD LB (HD1080p)		16:33:50:12		V1	V1		+BLINK_WWII DECODED_TECH							  76+12	16:34:14:12						25.00		16:34:39:15		BLINK_WW2 DECODED_MEDIA (W:)	00:00:49:03	01/05/2025 15:49:47			25.00			A004_C020_0430NW_001.R3D	
